C_S,L_R,A_I,N_R,N_S,D_R,C_R,M_U,main
0,9047.962,50.87810135,2,3,3,1.611999989,23121.955,0
1,3006.79,115.0540009,2,39,21,1.156000018,274321.039,1
0,12368.283,138.0269928,0,1,1,1.360999942,0,0
0,12772.253,127.0220032,0,1,1,1.383999944,0,0
1,32544.943,107.1439972,2,34,19,1.144000053,238920.902,1
0,10574.361,151.7050018,2,17,11,1.486999989,181515.034,0
1,16734.097,127.5670013,2,2,2,2.111000061,22247.96,1
1,2855.194,170.7940063,2,36,20,1.629999995,271465.845,1
1,23298.606,138.3379974,2,162,28,1.082000017,379399.307,1
0,12192.277,125.4919968,0,1,1,1.319000006,0,0
0,14368.876,20.3178997,2,12,7,1.338999987,89084.293,0
0,5510.35,131.6750031,0,1,1,1.282999992,0,0
0,7765.791,135.2230072,2,2,2,1.832999945,7710.51,0
0,13998.637,120.9400024,0,1,1,1.409000039,0,0
1,7710.51,167.4019928,0,1,1,1.460999966,0,1
0,18747.37,134.5579987,2,2,2,1.447000027,25971.724,0
1,21717.883,139.5359955,0,1,1,1.858999968,0,1
0,7470.505,172.3280029,0,1,1,1.965999961,0,0
1,1941.71,144.2819977,2,2,2,1.741999984,21717.883,1
1,27511.715,123.5029984,2,145,27,1.277999997,351887.592,1
1,12179.215,179.6080017,0,1,1,1.625,0,1
0,25971.724,123.7590027,0,1,1,1.593999982,0,0
0,13577.021,140.9400024,2,41,23,1.294999957,302934.985,1
1,7325.21,160.5890045,0,1,1,1.463000059,0,1
0,30200.23,111.8889999,0,1,1,1.894000053,0,0
0,3785.593,130.4279938,0,1,1,1.284999967,0,0
0,1569.673,83.34259796,2,2,2,1.297000051,14887.788,0
1,9177.417,134.6920013,2,94,24,1.131999969,316512.006,1
1,11546.514,156.8820038,2,3,3,1.559999943,30200.23,1
0,28441.162,141.996994,0,1,1,1.67900002,0,0
0,6760.225,166.3170013,0,1,1,1.45599997,0,0
1,14887.788,166.8320007,0,1,1,1.523000002,0,1
0,14047.443,119.6940002,0,1,1,1.598999977,0,0
1,8374.343,156.6719971,2,2,2,1.514999986,7325.21,1
0,11014.16,116.1480026,2,4,4,1.58099997,27083.069,0
1,16446.287,147.576004,0,1,1,1.355999947,0,1
0,10275.796,136.6470032,0,1,1,2.101000071,0,0
1,9805.707,102.4589996,2,95,25,1.036999941,325689.423,1
1,16392.462,160.2980042,2,142,26,1.034000039,335495.13,1
0,3248.609,174.3730011,2,3,3,1.402999997,15699.553,0
0,17739.405,121.1689987,2,3,3,1.748999953,59481.189,0
0,8029.805,110.4029999,0,1,1,1.309000015,0,0
1,10539.785,136.4839935,2,3,3,1.583999991,16543.284,1
1,4113.837,139.9340057,2,2,2,1.34800005,12429.447,1
0,6374.863,150.6289978,0,1,1,1.491000056,0,0
0,5067.487,133.8930054,0,1,1,1.33099997,0,0
0,11234.661,153.8480072,0,1,1,1.508000016,0,0
