C_S,L_R,A_I,N_R,N_S,D_R,C_R,M_U
1,4070.265,156.7194528,2,6,5,1.057,29166.154
0,5035.798,99.17110591,0,1,1,1.111,0
1,8178.229,137.8336854,0,1,1,1.69,0
0,680.42,114.645397,0,1,1,1.035,0
1,1435.944,136.3426298,0,1,1,1.083,0
0,1346.465,176.4506425,0,1,1,1.083,0
1,2335.993,82.88596557,2,2,2,1.087,11589.754
0,3943.529,136.5100464,0,1,1,1.045,0
0,1337.439,130.2165266,0,1,1,1.063,0
1,13193.288,101.3283187,0,1,1,1.171,0
1,11589.754,176.0013762,2,3,3,1.228,7903.204
1,10582.187,166.3977392,2,2,2,1.931,5417.017
1,2486.187,172.1883544,0,1,1,1.257,0
1,1214.703,112.7164943,2,144,23,1.02,144556.572
1,14805.742,169.2965813,2,20,15,1.364,78901.161
0,15427.659,50.44570124,2,12,9,1.552,60214.882
1,9063.69,160.4076723,2,11,8,1.365,57660.445
0,2554.437,138.5731063,0,1,1,1.271,0
1,5689.928,109.9458102,2,7,5,1.614,42137.27
1,12958.498,179.6342687,2,4,4,1.803,9489.951
1,3493.917,156.2293984,2,4,4,1.339,3028.606
1,13214.199,169.4657425,2,19,10,1.348,84566.648
1,29354.816,87.72252992,2,5,4,1.481,20555.521
1,8610.633,161.4039926,2,3,3,1.157,13352.813
1,5703.722,153.4127039,0,1,1,1.231,0
1,15702.937,156.5792493,2,9,7,1.728,66956.296
1,13013.564,165.6677577,2,7,6,1.264,36221.841
1,30734.455,168.1692953,2,2,2,1.488,8178.229
1,19713.04,138.9392717,2,8,6,1.962,27314.412
0,7872.39,158.0843993,0,1,1,1.08,0
0,23624.703,116.7419034,2,37,14,1.349,73136.893
1,12036.465,153.3511041,2,35,13,1.459,54828.771
1,18308.122,138.0482989,2,13,10,1.218,34251.628
1,10919.71,107.2339105,2,8,7,1.285,28404.053
0,8043.666,150.6625245,2,2,2,1.596,4260.622
1,15595.136,161.2932275,2,31,18,1.231,85646.901
1,2673.57,93.06235139,2,30,17,1.272,78965.691
0,6681.21,133.8098756,0,1,1,1.311,0
1,5784.812,115.1888568,2,2,2,1.217,1062.556
1,1713.126,165.3961095,0,1,1,1.26,0
0,1062.556,167.0629958,0,1,1,1.562,0
1,407.818,162.1305013,2,22,14,1.879,66986.855
1,4626.072,140.5281937,2,17,9,1.105,30830.874
0,3423.514,166.077608,0,1,1,1.22,0
1,558.565,101.2786802,2,3,3,1.123,2675.303
1,10141.557,116.9598224,2,4,3,1.295,15533.283
1,5022.238,127.3603018,2,18,9,1.139,66997.874
1,17568.774,153.4701127,2,4,4,1.476,18485.391
0,15449.465,161.3462518,2,2,2,2.211,1435.944
