FID,OBJECTID,fclass,name,主支流,语义一,上游河,Length,ID,起点X,起点y,终点x,终点y,下游起点X,下游起点Y,下游终点Y,下游终点X
201,202,5,金溪16,-1.000000000000000,0.000000000000000,0.000000000000000,17570.779999999999000,201.000000000000000,116.6819992,26.8232994,116.7139969,26.7406006,116.7139969,26.7406006,26.7388000,116.7160034
202,203,2,南山溪,1.000000000000000,1.000000000000000,0.000000000000000,28281.464000000000000,202.000000000000000,118.5790024,26.8239994,118.4629974,26.7483997,118.4629974,26.7483997,26.6495991,118.3509979
203,204,3,金溪,1.000000000000000,1.000000000000000,2.000000000000000,22199.773000000001000,203.000000000000000,117.5469971,26.7801991,117.7220001,26.7942009,117.7220001,26.7942009,26.7949009,117.7969971
204,205,3,崇洋溪,-1.000000000000000,0.000000000000000,2.000000000000000,17419.345000000001000,204.000000000000000,118.7760010,26.8201008,118.8069992,26.7401009,118.8069992,26.7401009,26.7061005,118.7860031
205,206,4,金溪9,-1.000000000000000,0.000000000000000,0.000000000000000,20887.651000000002000,205.000000000000000,117.1770020,26.8267994,117.0309982,26.8218994,117.0309982,26.8218994,26.7070999,117.1110001
206,207,3,金溪,1.000000000000000,1.000000000000000,2.000000000000000,3071.112999999999800,206.000000000000000,117.0350037,26.8488007,117.0309982,26.8218994,117.0309982,26.8218994,26.7070999,117.1110001
207,208,3,金溪,1.000000000000000,1.000000000000000,2.000000000000000,5111.040000000000000,207.000000000000000,117.0100021,26.8605003,117.0350037,26.8488007,117.0350037,26.8488007,26.8218994,117.0309982
208,209,2,建溪,1.000000000000000,1.000000000000000,2.000000000000000,9973.316000000000700,208.000000000000000,118.3050003,26.8686008,118.2500000,26.8187008,118.2500000,26.8187008,26.6380997,118.1790009
209,210,4,下炉溪,-1.000000000000000,0.000000000000000,0.000000000000000,13832.427000000000000,209.000000000000000,117.5130005,26.8705997,117.5469971,26.7801991,117.5469971,26.7801991,27.1040993,117.6409988
210,211,3,十字溪,-1.000000000000000,0.000000000000000,0.000000000000000,10903.675999999999000,210.000000000000000,118.3759995,26.8370991,118.3050003,26.8686008,118.3050003,26.8686008,26.8187008,118.2500000
211,212,3,金溪,1.000000000000000,1.000000000000000,2.000000000000000,20460.246999999999000,211.000000000000000,116.8909988,26.8736000,117.0100021,26.8605003,117.0100021,26.8605003,26.8488007,117.0350037
212,213,3,金溪,1.000000000000000,1.000000000000000,2.000000000000000,15671.341000000000000,212.000000000000000,116.8359985,26.8187008,116.8909988,26.8736000,116.8909988,26.8736000,26.8605003,117.0100021
213,214,4,上乾溪,-1.000000000000000,0.000000000000000,0.000000000000000,11920.850000000000000,213.000000000000000,118.7160034,26.8773003,118.7760010,26.8201008,118.7760010,26.8201008,26.7401009,118.8069992
214,215,3,崇洋溪,1.000000000000000,1.000000000000000,2.000000000000000,10662.522000000001000,214.000000000000000,118.7610016,26.8936005,118.7760010,26.8201008,118.7760010,26.8201008,26.7401009,118.8069992
215,216,4,金溪15,-1.000000000000000,0.000000000000000,0.000000000000000,19983.310000000001000,215.000000000000000,116.7549973,26.8971004,116.8359985,26.8187008,116.8359985,26.8187008,26.8736000,116.8909988
216,217,2,长桥溪,1.000000000000000,1.000000000000000,0.000000000000000,34723.050000000003000,216.000000000000000,118.8870010,26.8890991,118.8069992,26.7401009,118.8069992,26.7401009,26.7061005,118.7860031
217,218,4,金溪10,-1.000000000000000,0.000000000000000,2.000000000000000,20999.147000000001000,217.000000000000000,117.1760025,26.9018002,117.0350037,26.8488007,117.0350037,26.8488007,26.8218994,117.0309982
218,219,4,金溪10,1.000000000000000,1.000000000000000,2.000000000000000,494.468999999999990,218.000000000000000,117.1800003,26.9001999,117.1760025,26.9018002,117.1760025,26.9018002,26.8488007,117.0350037
219,220,5,迎恩溪,-1.000000000000000,0.000000000000000,0.000000000000000,12755.696000000000000,219.000000000000000,117.2570038,26.9064007,117.1800003,26.9001999,117.1800003,26.9001999,26.9018002,117.1760025
